"Qty","Value","Device","Package","Parts","Description","DESCRIPTION","DIGI-KEY_PART_NUMBER","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MP","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","PURCHASE-URL","SPICEPREFIX",
"1","","22-23-2061","22-23-2061","X1",".100" (2.54mm) Center Header - 6 Pin","","","","","","MOLEX","","","","22-23-2061","1462922","27C1933","","6","","",
"5","","LEDCHIPLED_0805","CHIPLED_0805","LED1, LED2, LED3, LED4, LED5","LED","","","","","","","","","","","","","","","","",
"1","100u","CPOL-EUB/3528-21W","B/3528-21W","C4","POLARIZED CAPACITOR, European symbol","","","","","","","","","","","","","","4","","C",
"2","10k","R-US_M0805","M0805","R9, R12","RESISTOR, American symbol","","","","","","","","","","","","","","","","",
"1","10u","C-EUC0603","C0603","C3","CAPACITOR, European symbol","","","","","","","","","","","","","","73","","C",
"3","15K","R-US_M0805","M0805","R1, R2, R3","RESISTOR, American symbol","","","","","","","","","","","","","","","","",
"5","1k","R-US_M0805","M0805","R4, R5, R6, R7, R8","RESISTOR, American symbol","","","","","","","","","","","","","","","","",
"3","22-23-2021","22-23-2021","22-23-2021","FLEX1, FLEX2, FLEX3",".100" (2.54mm) Center Header - 2 Pin","","","","","","MOLEX","","","","22-23-2021","1462926","25C3832","","40","","",
"1","2k","R-US_M0805","M0805","R13","RESISTOR, American symbol","","","","","","","","","","","","","","","","",
"1","3k","R-US_M0805","M0805","R14","RESISTOR, American symbol","","","","","","","","","","","","","","","","",
"2","470","R-EU_R0603","R0603","R10, R11","RESISTOR, European symbol","","","","","","","","","","","","","","70","","R",
"1","BUTTON","BUTTON","BUTTON_4_PAD","S1","Button SPST-NO DigiKey"," Tactile Switch SPST-NO Top Actuated Surface Mount ","CKN9104TR-ND","","","","C&K","","","PTS525SM15SMTR2 LFS","","","","Tactile Switch CK","","https://pricing.snapeda.com/search/part/PTS525SM15SMTR2 LFS/?ref=eda","",
"1","DIO5508XS8","DIO5508XS8","SOIC127P600X170-9N","IC2","Battery Management 1A Lithium Ion Battery Charger IC","Battery Management 1A Lithium Ion Battery Charger IC","","1.7mm","DIOO Microcircuits","DIO5508XS8","","453-DIO5508XS8","https://www.mouser.co.uk/ProductDetail/DIOO-Microcircuits/DIO5508XS8?qs=wUXugUrL1qzPv8nEmpxvyA%3D%3D","","","","","","","","",
"2","GREEN","LEDCHIPLED_0805","CHIPLED_0805","D5, D6","LED","","","","","","","","","","","","","","","","",
"1","JSTPH","CON_JST_PH_2PIN","JSTPH2","X2","JST 2-Pin Right-Angle Connector","","","","","","","","","","","","","","","","",
"1","MH-ET_ESP32_D1_MINI","MH-ET_ESP32_D1_MINI","MH-ET_ESP32_D1_MINI","U$1","","","","","","","","","","","","","","","","","",
"1","TPS78533QWDRBRQ1","TPS78533QWDRBRQ1","SON65P300X300X100-9N","IC1","LDO Voltage Regulators Automotive, 1-A, high-accuracy, adjustable low-dropout (LDO) linear regulator","LDO Voltage Regulators Automotive, 1-A, high-accuracy, adjustable low-dropout (LDO) linear regulator","","1mm","Texas Instruments","TPS78533QWDRBRQ1","","595-TPS78533QWDRBRQ1","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS78533QWDRBRQ1?qs=iLbezkQI%252BsiNbdqh2Ko9GQ%3D%3D","","","","","","","","",
